"ID","Language_ID","Headword","Part_Of_Speech","Headword_Raw","Headword_Normalized","Homonym_Number","Classification_Family","Translation_Raw","Variants_JSON","Examples_JSON","Comment","Source","Publication_Status","Validation_Status","Transcription_Status"
"RD-000001","tar","A","Vt","A","a","","Vt","Buscar","[""pret.: ari; fut.: ama""]","[""Nijeni ama cahué. Voy a buscar el caballo. ¡Ábasi! ¡Vayan a buscarlo! [pret.: ari; fut.: ama] Ábia simíbari, fueron a buscarlo. Abo, lo buscaremos, uds. lo buscarán. Ásagá, si lo busca. Ásiga, buscándolo. Ay, lo buscaba.""]","Nijeni ama cahué. Voy a buscar el caballo. ¡Ábasi! ¡Vayan a buscarlo! [pret.: ari; fut.: ama] Ábia simíbari, fueron a buscarlo. Abo, lo buscaremos, uds. lo buscarán. Ásagá, si lo busca. Ásiga, buscándolo. Ay, lo buscaba.","SRC-02[3]","Autorizada para difusión","Pendiente de validación lingüística","Transcrito"
"RD-000002","tar","Abé","Adv","Abé","abe","","Adv","Hoy","[]","[""1. Abé huarú ucuri. Hoy llovió mucho. 2.Hace rato. Véase jipi, curipi.""]","1. Abé huarú ucuri. Hoy llovió mucho. 2.Hace rato. Véase jipi, curipi.","SRC-02[3]","Autorizada para difusión","Pendiente de validación lingüística","Transcrito"
"RD-000003","tar","Abi, abiyena","Adv","Abi, abiyena","abi, abiyena","","Adv","Sí","[""abiyena""]","[""¿Acha mi 'yárati? Ayena, abi. ¿Se lo dieron? Sí.""]","¿Acha mi 'yárati? Ayena, abi. ¿Se lo dieron? Sí.","SRC-02[3]","Autorizada para difusión","Pendiente de validación lingüística","Transcrito"
"RD-000004","tar","Abijí","Adv","Abijí","abiji","","Adv","Todavía, aún","[]","[""¡Abijí buhué!, ¡Espera todavía! Abijí que cho ucú, todavía no llueve. I'yábijí temprano todavía. Abijí tibíami, sobrante. Abijí ucú, todavía llueve.""]","¡Abijí buhué!, ¡Espera todavía! Abijí que cho ucú, todavía no llueve. I'yábijí temprano todavía. Abijí tibíami, sobrante. Abijí ucú, todavía llueve.","SRC-02[3]","Autorizada para difusión","Pendiente de validación lingüística","Transcrito"
"RD-000005","tar","Aboni","Pron","Aboni","aboni","","Pron","Ellos, ellas","[]","[""Aboni pirérachi, habitación de ellos.""]","Aboni pirérachi, habitación de ellos.","SRC-02[3]","Autorizada para difusión","Pendiente de validación lingüística","Transcrito"
"RD-000006","tar","Acá","S","1Acá","aca","1","S","Cara, nariz","[]","[""Binoy acara, su cara. Binoy acárachi, en su cara. Véase cho'ó.""]","Binoy acara, su cara. Binoy acárachi, en su cara. Véase cho'ó.","SRC-02[3]","Autorizada para difusión","Pendiente de validación lingüística","Transcrito"
"RD-000007","tar","Acá","Vi","2Acá","aca","2","Vi","1. Tener sal 2. Está dulce o sabroso","[]","[""¿Acha gará acá muní?, ¿Tienen suficiente sal los frijoles? Hue gará acá je'ná muní, están muy bien de sal estos frijoles.""]","¿Acha gará acá muní?, ¿Tienen suficiente sal los frijoles? Hue gará acá je'ná muní, están muy bien de sal estos frijoles.","SRC-02[3]","Autorizada para difusión","Pendiente de validación lingüística","Transcrito"
"RD-000008","tar","Acá","S","3Acá","aca","3","S","Huarache","[]","[""Nijeni quetasi te acá, no tengo huaraches.""]","Nijeni quetasi te acá, no tengo huaraches.","SRC-02[3]","Autorizada para difusión","Pendiente de validación lingüística","Transcrito"
"RD-000009","tar","Acará","Vi","Acará","acara","","Vi","Poner (huaraches)","[]","[]","","SRC-02[3]","Autorizada para difusión","Pendiente de validación lingüística","Transcrito"
"RD-000010","tar","Acarapu","Vi","Acarapu","acarapu","","Vi","Quitarse (huaraches)","[]","[]","","SRC-02[3]","Autorizada para difusión","Pendiente de validación lingüística","Transcrito"
