saltillo_id,form,normalized_form,search_form,saltillo_glyphs,saltillo_count,position,saltillo_indexes,source_field,field_index,token_ordinal,context_index,context,entry_id,headword,classification,classification_family,translation,document_frequency,entry_frequency,source_code,source_document,page_start,page_end,source_status,validation_status
SAL-000001,a’huasá,aʼhuasá,aʼhuasa,’,1,Medial,1,Ejemplo,1,1,77,Cara mojuánari. La quebró en pedazos completamente (una olla). Cara chaquena a’huasá. Desbaratar Cara mojuana. Desmoronar.,RD-000426,Cara,Adv,Adv,Completamente,1,1,SRC-02,DICCIONARIO raramuri.pdf,24,24,Transcrito,Pendiente de cotejo ortográfico y fonológico
SAL-000002,A'huí,aʼhuí,aʼhui,',1,Medial,1,Lema,1,1,0,A'huí,RD-000034,A'huí,Vi,Vi,"Brotar, nacer o germinar (semillas)",1,1,SRC-02,DICCIONARIO raramuri.pdf,4,4,Transcrito,Pendiente de cotejo ortográfico y fonológico
SAL-000003,a'huimea,aʼhuimea,aʼhuimea,',1,Medial,1,Ejemplo,1,2,23,"[pret.: a'huiri, fut.: a'huimea]",RD-000034,A'huí,Vi,Vi,"Brotar, nacer o germinar (semillas)",2,1,SRC-02,DICCIONARIO raramuri.pdf,4,4,Transcrito,Pendiente de cotejo ortográfico y fonológico
SAL-000004,a'huimea,aʼhuimea,aʼhuimea,',1,Medial,1,Variante,1,2,22,"pret.: a'huiri, fut.: a'huimea",RD-000034,A'huí,Vi,Vi,"Brotar, nacer o germinar (semillas)",2,1,SRC-02,DICCIONARIO raramuri.pdf,4,4,Transcrito,Pendiente de cotejo ortográfico y fonológico
SAL-000005,a'huínara,aʼhuínara,aʼhuinara,',1,Medial,1,Ejemplo,1,1,6,"Aboni a'huínara niráa napahuiri, ellos se juntaron aparte de los demás.",RD-000036,A'huínari,Adv,Adv,Aparte,1,1,SRC-02,DICCIONARIO raramuri.pdf,4,4,Transcrito,Pendiente de cotejo ortográfico y fonológico
SAL-000006,A'huínari,aʼhuínari,aʼhuinari,',1,Medial,1,Lema,1,1,0,A'huínari,RD-000036,A'huínari,Adv,Adv,Aparte,2,2,SRC-02,DICCIONARIO raramuri.pdf,4,4,Transcrito,Pendiente de cotejo ortográfico y fonológico
SAL-000007,a'huínari,aʼhuínari,aʼhuinari,',1,Medial,1,Ejemplo,1,2,80,Bi'neri cu simiri; que huesi yuhua simiri. Se fue solo; nadie iba con él. Véase a'huínari,RD-000260,Bi'neri,Adv,Adv,Solo,2,2,SRC-02,DICCIONARIO raramuri.pdf,16,16,Transcrito,Pendiente de cotejo ortográfico y fonológico
SAL-000008,a'huiri,aʼhuiri,aʼhuiri,',1,Medial,1,Ejemplo,1,1,8,"[pret.: a'huiri, fut.: a'huimea]",RD-000034,A'huí,Vi,Vi,"Brotar, nacer o germinar (semillas)",2,1,SRC-02,DICCIONARIO raramuri.pdf,4,4,Transcrito,Pendiente de cotejo ortográfico y fonológico
SAL-000009,a'huiri,aʼhuiri,aʼhuiri,',1,Medial,1,Variante,1,1,7,"pret.: a'huiri, fut.: a'huimea",RD-000034,A'huí,Vi,Vi,"Brotar, nacer o germinar (semillas)",2,1,SRC-02,DICCIONARIO raramuri.pdf,4,4,Transcrito,Pendiente de cotejo ortográfico y fonológico
SAL-000010,A'lara,aʼlara,aʼlara,',1,Medial,1,Lema,1,1,0,A'lara,RD-000039,A'lara,Vt,Vt,"Mejorar, arreglar, preparar",2,2,SRC-02,DICCIONARIO raramuri.pdf,5,5,Transcrito,Pendiente de cotejo ortográfico y fonológico
