accent_id,form,normalized_form,base_form,accented_vowels,accent_count,accent_indexes,accent_position,vowel_ordinals_from_start,vowel_ordinals_from_end,source_field,field_index,token_ordinal,context_index,context,source_context,pair_id,alignment_status,alignment_confidence,entry_id,headword,classification,classification_family,translation,document_frequency,entry_frequency,source_code,source_document,page_start,page_end,source_status,validation_status
ACE-000001,Ábasi,ábasi,abasi,á,1,0,Inicial,1,3,Ejemplo RRM,2,1,1,¡Ábasi! ¡Vayan a buscarlo!,"Nijeni ama cahué. Voy a buscar el caballo. ¡Ábasi! ¡Vayan a buscarlo! [pret.: ari; fut.: ama] Ábia simíbari, fueron a buscarlo. Abo, lo buscaremos, uds. lo buscarán. Ásagá, si lo busca. Ásiga, buscándolo. Ay, lo buscaba.",PAR-000001-01-02,Alineado,Baja,RD-000001,A,Vt,Vt,Buscar,1,1,SRC-02,DICCIONARIO raramuri.pdf,3,3,Transcrito,Pendiente de cotejo ortográfico y prosódico
ACE-000002,Abé,abé,abe,é,1,2,Final,2,1,Ejemplo RRM,2,1,0,Abé huarú ucuri.,"1. Abé huarú ucuri. Hoy llovió mucho. 2.Hace rato. Véase jipi, curipi.",PAR-000002-01-02,Alineado,Media,RD-000002,Abé,Adv,Adv,Hoy,2,1,SRC-02,DICCIONARIO raramuri.pdf,3,3,Transcrito,Pendiente de cotejo ortográfico y prosódico
ACE-000003,Abé,abé,abe,é,1,2,Final,2,1,Lema,1,1,0,Abé,Abé,,No aplica,No aplica,RD-000002,Abé,Adv,Adv,Hoy,2,1,SRC-02,DICCIONARIO raramuri.pdf,3,3,Transcrito,Pendiente de cotejo ortográfico y prosódico
ACE-000004,Abijí,abijí,abiji,í,1,4,Final,3,1,Ejemplo RRM,2,1,0,Abijí que cho ucú,"¡Abijí buhué!, ¡Espera todavía! Abijí que cho ucú, todavía no llueve. I'yábijí temprano todavía. Abijí tibíami, sobrante. Abijí ucú, todavía llueve.",PAR-000004-01-02,Alineado,Alta,RD-000004,Abijí,Adv,Adv,"Todavía, aún",10,6,SRC-02,DICCIONARIO raramuri.pdf,3,3,Transcrito,Pendiente de cotejo ortográfico y prosódico
ACE-000005,Abijí,abijí,abiji,í,1,4,Final,3,1,Ejemplo RRM,4,1,0,Abijí tibíami,"¡Abijí buhué!, ¡Espera todavía! Abijí que cho ucú, todavía no llueve. I'yábijí temprano todavía. Abijí tibíami, sobrante. Abijí ucú, todavía llueve.",PAR-000004-01-04,Alineado,Alta,RD-000004,Abijí,Adv,Adv,"Todavía, aún",10,6,SRC-02,DICCIONARIO raramuri.pdf,3,3,Transcrito,Pendiente de cotejo ortográfico y prosódico
ACE-000006,Abijí,abijí,abiji,í,1,4,Final,3,1,Ejemplo RRM,5,1,0,Abijí ucú,"¡Abijí buhué!, ¡Espera todavía! Abijí que cho ucú, todavía no llueve. I'yábijí temprano todavía. Abijí tibíami, sobrante. Abijí ucú, todavía llueve.",PAR-000004-01-05,Alineado,Alta,RD-000004,Abijí,Adv,Adv,"Todavía, aún",10,6,SRC-02,DICCIONARIO raramuri.pdf,3,3,Transcrito,Pendiente de cotejo ortográfico y prosódico
ACE-000007,Abijí,abijí,abiji,í,1,4,Final,3,1,Ejemplo RRM,1,1,1,¡Abijí buhué!,"¡Abijí buhué!, ¡Espera todavía! Abijí que cho ucú, todavía no llueve. I'yábijí temprano todavía. Abijí tibíami, sobrante. Abijí ucú, todavía llueve.",PAR-000004-01-01,Alineado,Alta,RD-000004,Abijí,Adv,Adv,"Todavía, aún",10,6,SRC-02,DICCIONARIO raramuri.pdf,3,3,Transcrito,Pendiente de cotejo ortográfico y prosódico
ACE-000008,Abijí,abijí,abiji,í,1,4,Final,3,1,Lema,1,1,0,Abijí,Abijí,,No aplica,No aplica,RD-000004,Abijí,Adv,Adv,"Todavía, aún",10,6,SRC-02,DICCIONARIO raramuri.pdf,3,3,Transcrito,Pendiente de cotejo ortográfico y prosódico
ACE-000009,Abijí,abijí,abiji,í,1,4,Final,3,1,Ejemplo RRM,1,1,0,Abijí acami ju cochí,"Abijí acami ju cochí, todavía está vivo el perro.",PAR-000020-01-01,Alineado,Alta,RD-000020,Acami,Adj sing,Adj,Vivo,10,6,SRC-02,DICCIONARIO raramuri.pdf,4,4,Transcrito,Pendiente de cotejo ortográfico y prosódico
ACE-000010,abijí,abijí,abiji,í,1,4,Final,3,1,Ejemplo RRM,1,4,21,Auchériga atí bachí; abijí amarúami ju,"Auchériga atí bachí; abijí amarúami ju, así está la cabalaza; todavía está enter.",PAR-000045-01-01,Alineado,Alta,RD-000045,Amarú,Vi,Vi,Estar entero,10,6,SRC-02,DICCIONARIO raramuri.pdf,5,5,Transcrito,Pendiente de cotejo ortográfico y prosódico
ACE-000011,abijí,abijí,abiji,í,1,4,Final,3,1,Ejemplo RRM,1,9,65,"Jaré rarámuri mayé mapu echi jaré qui'yá piréami pagótami arihuá abijí 'yena jena'í, echijiti maparí echi jaré rarámuri huabé majajáratami ju, rocogó niráa, aboni mayé mapu a'nayáhuari 'yena.","Jaré rarámuri mayé mapu echi jaré qui'yá piréami pagótami arihuá abijí 'yena jena'í, echijiti maparí echi jaré rarámuri huabé majajáratami ju, rocogó niráa, aboni mayé mapu a'nayáhuari 'yena. Algunos tarahumaras creen que los espíritus de los que vivieron hace mucho todavía andan aquí, por eso, cuando ellos están muy asustados en la noche, creen que los espíritus de los antepasados andan por ahí.",PAR-000063-01-01,Alineado,Media,RD-000063,A'nayáhuari,S pl,S,"Los que vivieron hace mucho, los espíritus de los antepasados",10,6,SRC-02,DICCIONARIO raramuri.pdf,6,6,Transcrito,Pendiente de cotejo ortográfico y prosódico
ACE-000012,abijí,abijí,abiji,í,1,4,Final,3,1,Ejemplo RRM,1,4,40,"Queni boní cu simiri, chopi nijé binirá abijí atí.","Queni boní cu simiri, chopi nijé binirá abijí atí. Mi hermano menor se fue, pero mi hermana menor todavía está aquí. Nijé bonirá, mi hermano menor.",PAR-000301-01-01,Alineado,Media,RD-000301,Boní,S,S,Hermano menor,10,6,SRC-02,DICCIONARIO raramuri.pdf,19,19,Transcrito,Pendiente de cotejo ortográfico y prosódico
ACE-000013,Abijí,abijí,abiji,í,1,4,Final,3,1,Ejemplo RRM,2,1,0,Abijí hue ucú.,Quetasi cho ucú. No llueve todavía. Abijí hue ucú. Todavía lueve mucho.,PAR-000739-01-02,Alineado,Media,RD-000739,Cho,Adv,Adv,Todavía,10,6,SRC-02,DICCIONARIO raramuri.pdf,37,37,Transcrito,Pendiente de cotejo ortográfico y prosódico
ACE-000014,Acá,acá,aca,á,1,2,Final,2,1,Lema,1,1,0,Acá,Acá,,No aplica,No aplica,RD-000006,Acá,S,S,"Cara, nariz",7,4,SRC-02,DICCIONARIO raramuri.pdf,3,3,Transcrito,Pendiente de cotejo ortográfico y prosódico
ACE-000015,acá,acá,aca,á,1,2,Final,2,1,Ejemplo RRM,2,2,9,Hue gará acá je'ná muní,"¿Acha gará acá muní?, ¿Tienen suficiente sal los frijoles? Hue gará acá je'ná muní, están muy bien de sal estos frijoles.",PAR-000007-01-02,Alineado,Alta,RD-000007,Acá,Vi,Vi,1. Tener sal 2. Está dulce o sabroso,7,4,SRC-02,DICCIONARIO raramuri.pdf,3,3,Transcrito,Pendiente de cotejo ortográfico y prosódico
ACE-000016,acá,acá,aca,á,1,2,Final,2,1,Ejemplo RRM,1,2,11,¿Acha gará acá muní?,"¿Acha gará acá muní?, ¿Tienen suficiente sal los frijoles? Hue gará acá je'ná muní, están muy bien de sal estos frijoles.",PAR-000007-01-01,Alineado,Alta,RD-000007,Acá,Vi,Vi,1. Tener sal 2. Está dulce o sabroso,7,4,SRC-02,DICCIONARIO raramuri.pdf,3,3,Transcrito,Pendiente de cotejo ortográfico y prosódico
ACE-000017,Acá,acá,aca,á,1,2,Final,2,1,Lema,1,1,0,Acá,Acá,,No aplica,No aplica,RD-000007,Acá,Vi,Vi,1. Tener sal 2. Está dulce o sabroso,7,4,SRC-02,DICCIONARIO raramuri.pdf,3,3,Transcrito,Pendiente de cotejo ortográfico y prosódico
ACE-000018,acá,acá,aca,á,1,2,Final,2,1,Ejemplo RRM,1,1,18,Nijeni quetasi te acá,"Nijeni quetasi te acá, no tengo huaraches.",PAR-000008-01-01,Alineado,Alta,RD-000008,Acá,S,S,Huarache,7,4,SRC-02,DICCIONARIO raramuri.pdf,3,3,Transcrito,Pendiente de cotejo ortográfico y prosódico
ACE-000019,Acá,acá,aca,á,1,2,Final,2,1,Lema,1,1,0,Acá,Acá,,No aplica,No aplica,RD-000008,Acá,S,S,Huarache,7,4,SRC-02,DICCIONARIO raramuri.pdf,3,3,Transcrito,Pendiente de cotejo ortográfico y prosódico
ACE-000020,Acá,acá,aca,á,1,2,Final,2,1,Lema,1,1,0,Acá,Acá,,No aplica,No aplica,RD-000012,Acá,Vi,Vi,"Embotarse, quitarse (el filo)",7,4,SRC-02,DICCIONARIO raramuri.pdf,3,3,Transcrito,Pendiente de cotejo ortográfico y prosódico
ACE-000021,Acáami,acáami,acaami,á,1,2,Medial,2,3,Lema,1,1,0,Acáami,Acáami,,No aplica,No aplica,RD-000013,Acáami,Adj,Adj,1. Salado 2. Dulce,1,1,SRC-02,DICCIONARIO raramuri.pdf,3,3,Transcrito,Pendiente de cotejo ortográfico y prosódico
ACE-000022,acáanami,acáanami,acaanami,á,1,2,Medial,2,4,Ejemplo RRM,1,1,15,"Echi rijoy que acáanami ju, mapujiti binoy ronórachi nacórami ju","Echi rijoy que acáanami ju, mapujiti binoy ronórachi nacórami ju, Ese hombre es cojo porque tiene la pierna chueca. Que acáanami, cojo. Que acanáami biréana ronochí, cojo de una pierna.",PAR-000014-01-01,Alineado,Alta,RD-000014,Acáanami,Adj,Adj,Sano de pie o de brazo (se usa negativamente),2,1,SRC-02,DICCIONARIO raramuri.pdf,3,3,Transcrito,Pendiente de cotejo ortográfico y prosódico
ACE-000023,Acáanami,acáanami,acaanami,á,1,2,Medial,2,4,Lema,1,1,0,Acáanami,Acáanami,,No aplica,No aplica,RD-000014,Acáanami,Adj,Adj,Sano de pie o de brazo (se usa negativamente),2,1,SRC-02,DICCIONARIO raramuri.pdf,3,3,Transcrito,Pendiente de cotejo ortográfico y prosódico
ACE-000024,Acabó,acabó,acabo,ó,1,4,Final,3,1,Lema,1,1,0,Acabó,Acabó,,No aplica,No aplica,RD-000015,Acabó,S,S,"Hoyo de la nariz, ventana de la nariz",1,1,SRC-02,DICCIONARIO raramuri.pdf,3,3,Transcrito,Pendiente de cotejo ortográfico y prosódico
ACE-000025,acáchura,acáchura,acachura,á,1,2,Medial,2,3,Ejemplo RRM,2,2,5,Nijé acáchura,"Echi nijé onorá iyera nijé acáchura ju, la mamá de mi papá es mi abuela paterna. Nijé acáchura, mi abuela (la mamá de mi papá).",PAR-000016-01-02,Alineado,Alta,RD-000016,Acáchura,S,S,1. Abuela paterna 2. Nieta (de la abuela paterna),3,1,SRC-02,DICCIONARIO raramuri.pdf,3,4,Transcrito,Pendiente de cotejo ortográfico y prosódico
ACE-000026,acáchura,acáchura,acachura,á,1,2,Medial,2,3,Ejemplo RRM,1,4,27,Echi nijé onorá iyera nijé acáchura ju,"Echi nijé onorá iyera nijé acáchura ju, la mamá de mi papá es mi abuela paterna. Nijé acáchura, mi abuela (la mamá de mi papá).",PAR-000016-01-01,Alineado,Alta,RD-000016,Acáchura,S,S,1. Abuela paterna 2. Nieta (de la abuela paterna),3,1,SRC-02,DICCIONARIO raramuri.pdf,3,4,Transcrito,Pendiente de cotejo ortográfico y prosódico
ACE-000027,Acáchura,acáchura,acachura,á,1,2,Medial,2,3,Lema,1,1,0,Acáchura,Acáchura,,No aplica,No aplica,RD-000016,Acáchura,S,S,1. Abuela paterna 2. Nieta (de la abuela paterna),3,1,SRC-02,DICCIONARIO raramuri.pdf,3,4,Transcrito,Pendiente de cotejo ortográfico y prosódico
