variant_id,form_a,form_b,form_a_normalized,form_b_normalized,pattern,relation_type,derivation_method,entry_id,entry_ids,related_entry_id,classification,evidence,source_code,source_document,page_start,page_end,source_status,validation_status
VAR-000001,Hua,huáami,hua,huaami,ad,Flexión,Etiqueta morfológica explícita,RD-000862,RD-000862,,Vi,ad.: huáami; pp.: huacami,SRC-02,DICCIONARIO raramuri.pdf,42,42,Transcrito,Pendiente de cotejo lingüístico
VAR-000002,‘Huí,‘umea,'hui,'umea,fut,Flexión,Etiqueta morfológica explícita,RD-000951,RD-000951,,Vt,pret.: ‘huiri; fut.: ‘umea,SRC-02,DICCIONARIO raramuri.pdf,45,45,Transcrito,Pendiente de cotejo lingüístico
VAR-000003,A,ama,a,ama,fut,Flexión,Etiqueta morfológica explícita,RD-000001,RD-000001,,Vt,pret.: ari; fut.: ama,SRC-02,DICCIONARIO raramuri.pdf,3,3,Transcrito,Pendiente de cotejo lingüístico
VAR-000004,A'najata,a’najátama,a'najata,a'najatama,fut,Flexión,Etiqueta morfológica explícita,RD-000059,RD-000059,,Vt,pret.: a'najátari; fut.: a’najátama,SRC-02,DICCIONARIO raramuri.pdf,6,6,Transcrito,Pendiente de cotejo lingüístico
VAR-000005,Anacha,anachama,anacha,anachama,fut,Flexión,Etiqueta morfológica explícita,RD-000053,RD-000053,,Vi,pret.: anáchari; fut.: anachama,SRC-02,DICCIONARIO raramuri.pdf,5,5,Transcrito,Pendiente de cotejo lingüístico
VAR-000006,Anahui,anáhuima,anahui,anahuima,fut,Flexión,Etiqueta morfológica explícita,RD-000057,RD-000057,,Vt,pret.: anpahuari; fut.: anáhuima,SRC-02,DICCIONARIO raramuri.pdf,5,6,Transcrito,Pendiente de cotejo lingüístico
VAR-000007,Apabera,apabérama,apabera,apaberama,fut,Flexión,Etiqueta morfológica explícita,RD-000076,RD-000076,,Vi,fut.: apabérama,SRC-02,DICCIONARIO raramuri.pdf,7,7,Transcrito,Pendiente de cotejo lingüístico
VAR-000008,Apera,aperama,apera,aperama,fut,Flexión,Etiqueta morfológica explícita,RD-000083,RD-000083,,Vt sing,fut.: aperama; pl.: pabera,SRC-02,DICCIONARIO raramuri.pdf,7,7,Transcrito,Pendiente de cotejo lingüístico
VAR-000009,Arihué,arihuema,arihue,arihuema,fut,Flexión,Etiqueta morfológica explícita,RD-000097,RD-000097,,Vt,pp.: arihuérami; fut.: arihuema,SRC-02,DICCIONARIO raramuri.pdf,7,7,Transcrito,Pendiente de cotejo lingüístico
VAR-000010,Ba'hué,ba'huérama,ba'hue,ba'huerama,fut,Flexión,Etiqueta morfológica explícita,RD-000150,RD-000150,,Vi,pret.: ba'huéari; fut.: ba'huérama,SRC-02,DICCIONARIO raramuri.pdf,10,10,Transcrito,Pendiente de cotejo lingüístico
